2018-11-21 00:00:00,Z,498z,504
2018-11-21 00:00:10,Z,501.00499168053244z,509.5091514143095
2018-11-21 00:00:20,Z,496.98116526119003z,506.32187934410274
2018-11-21 00:00:30,Z,499.51495023484506z,514.0804424070085
2018-11-21 00:00:40,Z,500.429769912451z,513.8600635871054
2018-11-21 00:00:50,Z,500.0125580837117z,511.136757936151
2018-11-21 00:01:00,Z,498.0741244823474z,505.15773062017297
2018-11-21 00:01:10,Z,498.8573487634281z,505.6655642160305
2018-11-21 00:01:20,Z,498.1583711361688z,503.6768049662158
2018-11-21 00:01:30,Z,499.124440656333z,501.30831598133324
2018-11-21 00:01:40,Z,499.4154530976383z,498.0386488367833
2018-11-21 00:01:50,Z,499.28149187917904z,500.7796071182864
2018-11-21 00:02:00,Z,498.54251222825053z,497.22996647246845
2018-11-21 00:02:10,Z,498.07293124600517z,496.87158894812444
2018-11-21 00:02:20,Z,498.067028894453z,497.44849377755025
2018-11-21 00:02:30,Z,498.21724998425793z,495.62619116814255
2018-11-21 00:02:40,Z,498.2009622998088z,499.477792769226
2018-11-21 00:02:50,Z,498.4768444700777z,499.806190759372
2018-11-21 00:03:00,Z,499.5020451115319z,499.8198719016969
2018-11-21 00:03:10,Z,499.19214460649874z,498.7997386793312
2018-11-21 00:03:20,Z,499.1119000801754z,496.79388645146753
2018-11-21 00:03:40,Z,499.3024657701277z,496.873469522316
2018-11-21 00:03:50,Z,500.06073615971115z,497.4650794877039
2018-11-21 00:04:00,Z,500.3120908787711z,495.138332617797
2018-11-21 00:04:10,Z,500.4182883723862z,494.0600470952758
2018-11-21 00:04:20,Z,500.64083294699304z,496.2931251211303
2018-11-21 00:04:30,Z,500.8472347631343z,498.118444561969
2018-11-21 00:04:40,Z,500.9173653229716z,499.4496485954573
2018-11-21 00:04:50,Z,501.1032501748246z,497.25171136346813
2018-11-21 00:05:00,Z,501.27655387963904z,497.7750947838521
2018-11-21 00:05:10,Z,501.97302099007476z,501.2341230486604
2018-11-21 00:05:20,Z,502.8601733208212z,501.2793383592027
2018-11-21 00:05:30,Z,503.0445091681732z,501.2042297801027
2018-11-21 00:05:40,Z,503.1003269174953z,502.0101494375076
2018-11-21 00:05:50,Z,502.51289415543715z,502.76563625065523
2018-11-21 00:06:00,Z,502.71490487284274z,503.2426592612924
2018-11-21 00:06:10,Z,502.2695428667345z,502.9400137608702
2018-11-21 00:06:20,Z,502.0238437030499z,503.00101273443727
2018-11-21 00:06:30,Z,502.4241813934323z,503.46004718707616
2018-11-21 00:06:40,Z,502.2854114295006z,502.2315871460115
2018-11-21 00:06:50,Z,502.0406400247473z,503.58917623605237
2018-11-21 00:07:00,Z,501.81030446270677z,500.762359021576
2018-11-21 00:07:10,Z,501.59348081764523z,501.45873642392445
2018-11-21 00:07:20,Z,501.3893156320343z,500.2395489209737
2018-11-21 00:07:30,Z,501.5374358399157z,502.8925573885769
2018-11-21 00:07:40,Z,501.5636473243683z,502.10532702483533
2018-11-21 00:07:50,Z,501.1921262374817z,502.7219964686642
2018-11-21 00:08:00,Z,500.7288863562474z,504.4341256953471
2018-11-21 00:08:10,Z,500.40522015698946z,503.33615146291095
2018-11-21 00:08:20,Z,499.8742677359889z,500.6638860825622
2018-11-21 00:08:30,Z,499.8813607365778z,500.34436628678793
2018-11-21 00:08:40,Z,500.1135631404759z,501.8471689917019
2018-11-21 00:08:50,Z,499.8254283201276z,501.9684749301983
2018-11-21 00:09:00,Z,498.9904700044108z,499.15428347712475
2018-11-21 00:09:10,Z,498.7658282855747z,500.83443470045995
2018-11-21 00:09:20,Z,498.4413708515611z,499.4369395689714
2018-11-21 00:09:30,Z,498.7540593876508z,500.9311864882093
2018-11-21 00:09:40,Z,498.31800750814944z,500.03529138816225
2018-11-21 00:09:50,Z,498.5250080406001z,500.87660289476514
2018-11-21 00:10:00,Z,498.83273440755335z,501.8390373275765
2018-11-21 00:10:10,Z,498.78594020002197z,502.57859703955694
2018-11-21 00:10:20,Z,498.8541490075936z,501.31007700394065
2018-11-21 00:10:30,Z,498.91851442725266z,502.13524804683067
2018-11-21 00:10:40,Z,498.47378022342986z,501.39752203322166
2018-11-21 00:10:50,Z,498.0540822457463z,501.20673061524445
2018-11-21 00:11:00,Z,497.88259825261855z,500.63363179804026
2018-11-21 00:11:10,Z,498.00147537585036z,501.6086304705343
2018-11-21 00:11:20,Z,497.72070548634076z,500.5078526805986
2018-11-21 00:11:30,Z,497.11892543703954z,499.46896055612217
2018-11-21 00:11:40,Z,496.7754815854815z,501.5193795417954
2018-11-21 00:11:50,Z,496.8442067454401z,502.55659023790673
2018-11-21 00:12:00,Z,496.17950080594443z,501.7957840274009
2018-11-21 00:12:10,Z,495.88883927646566z,502.70512691102283
2018-11-21 00:12:20,Z,495.61450246397425z,500.25261732167695
2018-11-21 00:12:30,Z,496.08503338438805z,500.46289219364473
2018-11-21 00:12:40,Z,496.3047032428851z,500.94191167144
2018-11-21 00:12:50,Z,496.00706521296974z,503.58226233016586
2018-11-21 00:13:00,Z,496.1188819926405z,504.1106594984416
2018-11-21 00:13:10,Z,496.561052480351z,504.6093963554875
2018-11-21 00:13:20,Z,496.47347171002997z,502.1627492541735
2018-11-21 00:13:30,Z,495.8297819445373z,501.53649177681456
2018-11-21 00:13:40,Z,495.5588246717826z,502.1796100293618
2018-11-21 00:13:50,Z,495.4152736542498z,501.55242974107085
2018-11-21 00:14:00,Z,495.6724745304716z,502.19463276021867
2018-11-21 00:14:10,Z,496.1396381420151z,504.20326842679
